user_id;age;attraction_distribution;coins;country;retention_days;sex;user_dating.age_start;user_dating.age_end;view_count;was_special;is_special;total_revenue
114177462;37;137;;IL;1,2,3,4,5,6,7,8,9,11,13;1;30;40;51;;;0
114261926;57;0;;IT;1;1;54;60;0;;;0
114485851;30;769;;FR;1,2,3,4,5;1;27;33;13;;;0
114257190;48;750;;FR;1,4,6,8,10,11,12,14,15,16,18;1;45;51;12;;;0
114229226;54;638;;US;1;1;35;53;94;;;0
114123337;28;71;;IT;1;1;25;31;14;;;2522
114463861;24;1000;;CL;;1;18;23;2;;;0
114130436;16;0;;IT;;1;16;20;0;;;0
114494837;22;555;;ES;1;1;19;25;9;;;0
114200179;25;705;;AE;2,4,6,8,9,10,11,13,14,15,17,19,21,22;1;22;37;34;;;0
114424442;19;0;;US;1,2;1;16;22;1;;;0
114321623;42;400;;US;;1;19;58;10;;;0
114205466;37;0;;CL;1,3,4,6,7,8,9,11,12,13,14,16,17,19;1;34;40;0;;;0
114221299;42;539;;US;1,2,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20;0;39;45;984;;;0
114390842;41;0;;US;1,2,3,4,7,8;1;38;44;0;;;0
114249903;25;500;;IT;1,2,3,4,5,6,7,8,9,10,11,12,14,15,16,17,18,19;1;22;28;2;;;0
114155200;29;312;;CL;1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25;1;26;45;16;;;0
114382538;21;1000;;US;1;1;18;24;2;;;0
114474953;30;0;;AR;;1;27;33;9;;;0
114433561;31;500;;PT;1,2,3,4,5;1;16;40;2;;;0
114134365;16;0;;FR;;1;16;20;0;1;1;16562
114362562;26;527;;AE;1,2,3,4,5,6,7,8;1;18;99;72;;;0
114165080;40;166;;ES;1,2,3;1;37;43;6;;;0
114207970;56;79;;FR;;1;27;55;88;;;0
114440053;29;750;;CL;1,2,3;1;26;32;8;;;0
114074853;30;1000;;FR;1;1;27;99;1;1;;2873
114049715;49;0;;CL;;1;46;52;0;;;0
114203221;31;365;;US;1,2,3,4,5,7,8,9,11,12,13;1;28;34;63;1;;0
114319801;42;450;;US;1,2,3,4,5,6,7,8,9,10,11,12,13,14,15;0;45;99;508;;;0
114083539;37;0;;IL;;1;34;40;0;;;0
114457837;21;0;;AR;1;1;18;37;3;;;0
114101946;44;159;;DE;19,20,23;1;41;47;69;;;0
114320227;58;223;;IT;1,2,3,5,11;1;30;53;103;;;0
114391128;22;292;;US;;0;19;25;147;;;0
114110891;49;417;;US;1;1;46;52;79;1;;0
114441244;35;400;;CL;;1;32;38;5;;;0
114457870;30;200;;US;7;1;27;33;5;;;0
114172541;46;0;;US;1,2;1;43;49;0;;;0
114042848;16;285;;US;;1;16;23;7;;;0
114115092;42;434;;IT;1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28;1;30;45;191;;;0
114470377;19;0;;US;;1;16;22;1;;;0
114145653;24;0;;PT;1,2,3,4,5,6,7,8,9,10;1;21;27;0;;;0
114181487;36;166;;AR;1;1;18;42;18;;;0
114071661;30;333;;BE;;1;27;90;3;;;0
114241746;21;0;;US;;0;18;30;238;;;0
114322960;46;0;;IT;1,2;1;16;99;0;;;0
114460625;33;500;;US;;1;30;36;8;;;0
114299879;35;189;14;CL;1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17;1;24;38;190;1;1;20085
114446165;42;307;;AR;1;1;39;45;13;;;0
114166011;27;200;;AR;1,2;1;16;30;5;;;0
114236301;30;0;;US;10;1;27;33;0;;;0
114069478;24;0;;PT;;1;21;27;0;;;0
114424851;34;530;;US;1,2,3,4,5,7;1;31;37;49;1;;0
114212757;28;500;;FR;1,2,4,6,8,10,11,12,13,14,16,18,20;1;25;31;2;;;0
114309769;40;0;;ES;1,2,3,5,6,8,9,11,13,14,15;1;37;43;1;;;0
114047507;18;289;;US;1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,60;1;15;21;107;;;0
114476218;37;384;;AE;;1;34;40;26;;;0
114238990;21;142;;GB;;1;18;28;7;;;0
114485450;25;684;;AE;;1;22;28;19;;;0
114344695;18;1000;;US;;1;16;28;2;;;0
114125480;43;307;;FR;15,16,17,18,19,20,21,22,23,24,25,26,27;1;40;46;13;;;0
114434447;21;0;;US;1,2,3,4,5,6,8;1;18;24;5;;;0
114144125;30;740;;US;1,2;1;27;33;50;;;0
114255457;32;0;;FR;1,2,3,4;1;29;35;0;;;0
114204440;33;58;;IT;;1;30;36;17;;;0
114175368;29;666;;AR;;1;16;44;3;;;0
114068205;39;500;;DE;;1;36;42;12;1;;0
114327100;47;250;;FR;1,2,3,4,5,6,7,8,9,10,11,14;1;44;50;12;;;0
114436998;34;653;;US;1,2,5,6;0;45;99;407;;;0
114147715;47;0;;AR;;1;44;50;0;;;0
114083215;33;143;32;GB;1,2,3,4;1;24;50;202;1;1;22685
114182070;40;1000;;CA;;1;37;43;1;1;1;9815
114162210;50;272;;FR;;1;47;53;11;;;0
114464152;19;0;;US;;1;16;22;0;;;0
114190619;27;166;;AR;;1;24;30;6;1;;0
114159815;25;0;;US;4,5;1;22;28;0;;;0
114065855;24;166;;AR;;1;21;27;6;;;0
114189122;40;0;;AR;;1;37;43;0;;;0
114128969;25;430;;US;1,2,3,4,5;0;22;28;804;;;0
114403637;41;390;;US;1,2,4,5,6,8,9,10;1;19;48;41;1;;0
114408370;53;1000;;US;1,8;1;51;99;2;;;0
114050222;22;1000;;PT;;1;19;25;1;;;0
114436641;73;0;;AR;;1;16;76;0;;;0
114221514;16;0;;IT;;1;16;20;0;;;0
114334490;35;765;;US;1,2,3;1;32;70;47;;;0
114457812;30;700;;DE;1,2,3,4,5,6,7;1;27;33;20;;;0
114466703;36;0;;AU;1,3,6;1;33;39;0;;;0
114096819;45;0;;CL;4,5;1;42;48;0;;;0
114248549;25;0;;FR;;1;22;28;0;;;0
114285287;39;500;;US;1,2,3,5,6,7,8;1;36;42;10;;;0
114108309;34;755;;US;1,2,3,4,5,6,7;1;31;37;45;;;0
114423878;44;0;;US;1;1;41;47;0;;;0
114503091;44;666;;BE;;1;41;47;3;;;0
114404794;40;0;;ES;;1;37;43;2;;;0
114178787;27;0;;FR;;1;24;30;0;;;0
114044448;21;857;;US;1,2,3,4,5,7,8,10,13;1;16;36;105;;;0
114281158;40;357;;US;1,3,4,5;1;37;43;14;;;0
114266441;39;687;;FR;1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,18;1;36;42;16;;;0
114304082;48;642;;US;1;1;45;51;14;;;0
114320633;34;407;;DE;1,2;1;16;37;76;;;0
114389628;23;476;;US;1,2,3,4,6,7,8,9,10;1;18;26;42;;;0
114207818;32;313;;US;;0;30;35;322;;;0
114063231;24;0;;IT;;1;21;27;0;;;0
114417417;28;0;;IT;1;1;16;43;0;;;0
114167095;39;746;;US;1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22;1;16;42;505;1;;0
114366022;32;0;;DE;;1;29;35;7;;;0
114418138;35;1000;;US;1;1;32;38;3;;;0
114463042;17;0;;US;2,3,4,5,6;0;16;99;0;;;0
114157863;28;888;;AR;1,2,3,4,5,6,7,8,9,11,12,13,14,15,16,17,18,19,20,21,23;1;25;31;54;;;0
114347660;27;333;;IT;;1;20;30;3;;;0
114097418;37;595;;US;17,18,19,20,21,22,23,24,25,26,27,28;1;27;41;89;;;0
114077737;27;200;;BE;1,2,4,5,7,9,10,11,12,13,14;1;24;30;30;1;1;6461
114203098;19;0;;US;;1;16;22;7;;;0
114142037;44;333;;US;;1;41;47;21;;;0
114309057;41;0;;US;;0;38;44;0;;;0
114173771;28;565;;US;;1;25;31;23;1;;0
114116526;23;400;;US;1,2,3;1;20;26;5;;;0
114447276;29;500;;CL;;1;26;32;2;;;0
114140691;25;152;;US;;0;22;28;491;;;0
114059655;33;300;;AR;1,2,3,4,5,6,7,9,10,11,12,13,14,15,16,17,18,19,20,22,23,24,25,26,27,28,29,30,60;1;20;48;10;;;0
114443791;44;0;;CL;1;1;41;47;5;;;0
114137706;49;0;;US;;1;46;52;0;;;0
114234050;37;1000;;US;1,2;1;34;40;1;;;0
114093708;23;0;;GB;;1;20;26;0;;;0
114360033;18;0;;ES;1;1;15;21;0;;;0
114141426;25;0;;AR;;1;22;28;4;;;0
114283016;32;500;;ES;1,2;1;29;35;2;;;0
114297464;32;534;;US;1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17;1;29;35;58;1;1;9087
114417493;27;1000;;US;;1;24;30;2;;;0
114212794;70;0;;IT;1,2,3,5,6,8,10,12,14,16,17,19,20,21;1;50;70;0;;;0
114163522;18;0;;US;2,5;1;17;23;0;;;0
114262822;27;472;;US;1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18;1;24;30;36;;;0
114213829;24;645;;US;1,2;0;21;27;432;;;0
114221181;43;500;;US;1,2,3,4,5,6,7;1;40;46;16;;;0
114455473;16;0;;FR;2;1;16;20;0;;;0
114153510;27;79;;US;1,2,6,7,8,9,10,13,17,18,19,22;1;23;27;63;;;0
114452958;29;1000;;CL;2,4,5,6,7,8;1;26;32;4;;;0
114114364;92;320;;US;1,2,4,5,6,7,10,12,15;1;21;28;50;;;0
114236246;32;437;;AR;1,2,3,4,5,6,8,9,10,11,12,13,14,15,16,17,18,19;1;20;43;32;;;0
114164926;22;0;;ES;1,3,4,5,6,7,8,9,10,11,12,17,19,21,22,23,24,25;1;19;25;0;;;0
114206206;39;190;28;CL;1;1;16;40;121;1;1;16380
114092358;33;0;;US;;1;30;36;0;;;0
114141597;46;304;;CA;1;1;43;49;23;;;0
114176753;29;328;;AE;1,2,3,4,5,6,7,8,9,10,11,13,14,15,16,17,19,20,21,22,23,24;1;26;61;67;;;0
114390476;27;320;;AE;1,3,5,6,7,8,10;1;24;30;25;;;0
114119537;30;44;;IT;;1;27;33;68;;;0
114301700;27;500;;US;;1;24;30;2;;;0
114465716;27;1000;;AE;;1;24;30;1;;;0
114278211;27;612;;AE;1,2,3;1;17;34;31;;;0
114425439;37;382;;US;1,2,3;0;34;40;471;1;1;6292
114431770;53;0;;BE;1,2,3,4;1;50;56;8;;;0
