user_id;age;attraction_distribution;coins;country;retention_days;sex;user_dating.age_start;user_dating.age_end;view_count;was_special;is_special;total_revenue
114097090;39;120;;AR;1,2,3,4,5,6,8,9,10,12,13,15,16,18,20,21,22,23,24,25,27,28;1;36;42;50;;;0
114358073;41;107;;IT;1,2,3,4;1;38;44;28;;;0
114124683;47;100;;GB;;1;16;36;10;;;0
114044369;43;512;;US;;1;21;46;41;;;0
114362430;40;0;;IT;1,2,3,4,5,6,7,8,9,10,11,12;1;21;52;1;;;0
114356195;35;0;;IT;;1;20;32;7;;;0
114403493;26;0;;US;;1;23;29;0;;;0
114333243;23;0;;AR;;1;20;40;0;;;0
114292218;25;533;;US;1,2;0;22;28;180;;;0
114194946;36;268;;FR;1,2,3;1;25;39;41;1;1;6396
114108899;42;239;;US;1;1;22;35;46;;;0
114281257;23;0;;FR;1,2,4;1;20;26;0;;;0
114396360;25;461;;US;1;1;22;50;26;1;1;12727
114319893;30;447;;US;1;0;27;99;246;;;0
114373323;34;333;;US;1,3,4,5,6,7,8,9,10,11;1;31;37;12;;;0
114438406;37;0;;AE;;1;22;42;0;;;0
114397425;53;538;;US;;1;31;61;13;;;0
114219527;20;750;;CA;1,2,3,4;1;17;51;16;1;;0
114376220;29;600;;CA;1,2,3,4,5,6,7,8,9,10,11;1;20;32;5;1;;0
114407307;22;0;;ES;1;1;19;24;1;;;0
114463110;22;0;;US;;1;19;25;0;;;0
114076900;51;149;;ES;1,2,3,5;1;42;54;87;;;0
114411026;30;0;;ES;;1;27;33;1;;;0
114394010;23;0;;US;2,3,4;1;20;26;0;;;0
114354598;47;0;;ES;1,3,4,5,7,8,10,12;1;44;50;0;;;0
114044400;27;1000;;US;11,13;1;24;30;2;;;0
114155080;39;666;;CA;1,2,3,4,5,7,8,9,10,11;1;19;70;15;;;0
114416502;31;0;;FR;1,2;1;28;34;0;;;0
114279234;29;0;;FR;1;1;26;32;0;;;0
114446818;54;0;;DE;1;1;40;49;53;;;0
114054256;20;580;;ES;1,2,3,4;1;17;23;50;;;0
114225960;24;0;;US;2;1;21;27;0;;;0
114422741;43;250;;US;;1;40;46;16;;;0
114257575;30;0;;IT;17,18;1;22;50;13;;;0
114353762;25;0;;GB;1,2,3,4;1;22;28;2;;;0
114079270;20;0;;US;1,2,3,4,5,6,7,8,9,10,11,12;1;17;50;0;;;0
114147098;18;0;;AR;1,3,24,25;1;18;21;0;;;0
114088728;22;0;;CL;1;1;19;25;0;;;0
114414033;35;0;;ES;1,2,3,4,5,6,7,8,9,10;1;32;38;0;;;0
114404711;32;0;;FR;;1;29;35;0;;;0
114386364;19;500;;US;1,2,3,4,6,7,9,10,11;1;16;22;2;;;0
114151186;24;0;;AE;1,2,9;1;21;27;0;;;0
114247861;33;0;;AR;;1;30;36;0;;;0
114415144;45;0;;IT;1;1;42;48;7;;;0
114111347;28;750;;AR;4,5,8,9,10,11,12,13,14;1;25;31;8;;;0
114125973;18;166;;ES;1,2,11,12;1;18;21;6;;;0
114043196;25;266;;ES;1;1;22;99;15;;;0
114236575;45;0;;CL;1,2,3,6,7,8,9,13,14,15,16,17,18,19,20;1;42;48;0;;;0
114258639;26;470;;ES;1,2;1;23;29;17;;;0
114438923;38;0;;US;;1;35;41;0;;;0
114088089;52;250;;CA;;1;49;55;4;;;0
114309310;25;281;;US;1,2,3;0;22;28;906;;;0
114087768;29;0;;ES;1,2;1;18;24;0;;;0
114403003;59;0;;BE;;1;50;62;0;;;0
114150096;25;398;;US;1,2,3,4,5,6,7,8,9,10,12;1;22;28;148;;;0
114331915;47;333;;CL;;1;44;50;3;;;0
114481557;22;333;;US;;1;19;25;3;;;0
114154394;41;230;;ES;1,2;1;38;44;26;;;0
114097526;22;0;;ES;;1;19;25;2;;;0
114195954;52;728;;US;1,2,3;1;49;55;81;;;0
114096671;20;198;;US;1,2,3,4,5,6,7,8,9,10,11,12,13,15,16,17,18,19,20,21,22,23,24,25,26,27,28;1;17;23;116;1;1;13611
114349983;38;0;;CH;1;1;17;21;2;1;;0
114102081;18;0;;CL;;1;18;21;6;;;0
114320536;44;0;;AR;1,2,3,4,5,6,7,8,9,10,11,13,15;1;20;45;0;;;0
114414591;50;363;;IT;1,2,3,4,6,7,8,9;1;47;53;44;;;0
114072045;49;392;;ES;1,24;1;46;52;28;1;;0
114343867;24;0;;AU;1,3,4,5,7,8,10,11,12;1;21;27;0;1;;0
